,Company Decscription,Actual Labels,Predicted Labels
299,"Applus+ Technologies is a leader in developing, implementing and managing innovative technology and system solutions that enable customers worldwide to address their business and environmental challenges.
Our experienced teams deliver customized and flexible solutions in the areas of Information Management, Decision Support Services and Business Process Management, designed to support our clients’ strategic, financial, operational, regulatory and compliance decisions. Applus+ expanded capabilities include program management, vehicle diagnostics, environmental testing, design and development of database solutions and portal and mobile applications development.
Applus+ is a leading provider of air quality emissions testing solutions to governmental and commercial customers. In the U.S. alone, Applus+ manages over 6.5 million vehicle tests annually, oversees more than 1,800 inspection stations and has trained over 14,000 inspectors. 
Applus+ Technologies is a division of Applus+, a Carlyle Group Company.  Applus+ is a $1+ billion global leader in inspection, maintenance, certification and technology services.",1.0,1.0
593,"Our mission at Yukon Learning is to ""Make e-Learning Easy for Everyone.""  To achieve that goal, we provide certified Articulate® training, custom course development, and engaging simulations.  Our team of expert instructors delivers hands-on training for Articulate products, including Storyline.  Training is offered via open enrollment sessions across the US and on-site and virtual one-on-one sessions.  Our talented team of rapid e-Learning developers has built custom e-Learning courses, assessments, and simulations for clients worldwide.

We've also recently changed the game with our new product, Rapid Course.  Rapid Course revolutionizes the e-Learning marketplace by providing a library of engaging e-Learning courses for upload to any LMS, along with the source files for customization.  That's right...with Rapid Course, you “Buy the Course, Get the Source™.”

Learn more about how we can help make e-Learning easier for you…visit us online at yukonlearning.com.",1.0,1.0
695,"LIT OnLine is a revolutionary methodology and e-learning platform that dramatically improves the way individuals and organizations master knowledge and reach new levels of performance.  The patented Lock-In-Thought (LIT) system helps organizations improve learning retention rates to unprecedented levels—over 90% on average.

At LIT OnLine, the focus is on augmenting your traditional communication and learning materials with content and a methodology that ensures key critical information is REMEMBERED.  Using scientifically proven methods including spaced reinforcement, chunking, and problem solving, LIT helps maximize learning efficiency and long-term retention.  As a web-based application, LIT is easily implemented and simple to use by anyone, anywhere, at any time.  

Contact us to learn how LIT can help your organization improve employee knowledge and competency, optimize performance, and deliver improved bottom-line results.

We help people remember what matters!",1.0,1.0
305,"Established in 1983, ​we are a  technology integration company that focuses on solutions that enhance the communication and collaboration experience for the enterprise market

Our core solutions include Network Cabling, Audio Visual and In Building Wireless.",1.0,1.0
319,"Criterion Systems, Inc. is a systems integrator delivering innovative business solutions for government agencies.  The Company delivers Cybersecurity, IT Infrastructure, Systems Engineering and Application Development services to support critical missions.

          Employee-owned, Customer-driven, Mission-focused
                        CMMI Level 3 Certified Processes

At Criterion Systems, Inc., we developed a different kind of business—a company whose real value is a reputation for excellence built upon the collective skills, talents, perspectives, and backgrounds of its people. Our Offerings: *100% employee-owned private Government contractor founded in 2005. *High retention rate because we work hard at holding onto talent. *Excellent Leadership Team comprised of individuals who have successfully built and run businesses and are involved in day-to-day operations to include an open-door policy. We are as large as we have ever been! We are positioning ourselves to almost double in size in the next year due to several large Prime contracts we expect to be awarded by early 2017. Our employees are the most valuable assets.  Are you ready to be appreciated?",1.0,1.0
344,"Future Computing Solutions, Inc., (FCSI)  is a leading Advanced Technology Partner, our goal is to help customers to meet new business challenges and streamline operations with the best technology and solutions available. FCSI, offers our customers a wide breadth of IT solutions from managing your data center to managing supplies purchasing.",1.0,1.0
920,"Glendale Preparatory Academy is a state-chartered public school offering a liberal arts education rooted in the western literary and philosophic tradition, and committed to the pursuit of truth, goodness, and beauty. Our academy embraces wisdom and virtue as the proper ends of education, and our school culture is ordered to help foster great-hearted young men and women. Glendale Prep’s rigorous seven year curriculum culminates in a four year sequence of Humane Letters seminars in which our students read, contemplate, and discuss the Great Books from Plato’s Republic to Dostoyevsky’s Brothers Karamazov.",2.0,2.0
464,"We are now Diversified! Please follow us on our Diversified. Page! https://www.linkedin.com/company/diversified-?trk=top_nav_home


Technical Innovation helps companies deliver knowledge via the spaces it designs and builds, the solutions it integrates and the services it provides. This includes best-of-class, video-centric communication solutions and design-build system integration services to corporations, government agencies, educational institutions, professional organizations, and more. Technical Innovation has earned the trust of its customers for delivering exceptional customer support, and its customers also rely on us for expert guidance, unique vision, and highly-disciplined approach. The company has won numerous awards for our work, but it’s the reward of exceeding its customers’ expectations that continually inspires the company.

Technical Innovation has a rich 75-year-plus history that closely correlates with the evolution of the audio/video business in the Southeastern United States, with regional offices serving the South and customers all over the globe.",1.0,1.0
714,"Rapidtech is a Technician Development System (TDS) and certification that can be implemented within a company or on an individual basis. It consists of four parts: 1) Recruiting assistance, 2) Technician development, 3) Culture enhancer and 4) Advanced training. 

Technicians receive a legit certification that students and employees can use for future employment purposes!

Why was Rapidtech developed?
-It started simply because there is a shortage of skilled wokrers in the United States. In its original form, it started as TDP (Technician Development Plan). From there, it evolved into a system using several parts and pieces that make it more than just education. 

-In 2009, during the recession Steve Holland developed this system as a way to rapidly develop skilled workers. His business was in the HVAC space and during the recession the replacements business tapered off. This resulted in more focus on the service side of the business. With great success, Steve grew his service business but could not find qualified technicians. Thus, Rapidtech (TPD at the time) began and has been highly successful in developing service technicians quicker than the traditional methods.",1.0,1.0
817,"Education Galaxy provides online and mobile assessment solutions for K-5 elementary students.  The core product is an affordable, fun, and feature-rich program to help students prepare for state testing.  It is built 100% from each state's standards, and provides a highly engaging and effective way for students to master all their state standards. After a diagnostic test, students manage their own personal Study Plans; teachers and administrators have access to a suite of reports to track individual and class progress.

Along with skills practice, the learning component of Education Galaxy is key.  Whenever the student does not answer a question correctly, they receive a brief video explanation of how to arrive at the correct answer.  

To supplement the core product, Education Galaxy offers Liftoff: Adaptive Intervention for struggling learners and at-risk students.

Exclusive to Texas, Education Galaxy's STAAR test prep is available in both English and Spanish.    The program is available in most other states currently in the English language only.

Education Galaxy is..... curiously fun, amazingly effective, refreshingly affordable.",1.0,2.0
457,"Unitrends Boomerang is the fastest, lowest-cost VMware Disaster Recovery and VM migration solution-- available for Amazon Web Services or Microsoft Azure.

Boomerang keeps Disaster Recovery costs to a minimum by leveraging low-cost AWS S3 or Azure Blob storage until needed. Boomerang's one-click failover automatically rehydrates incremental backups and remodels as native Amazon Machine Images or as Azure virtual machines and spins them up in the cloud. One more click recovers everything as ready-to-run VMware VMs in your data center. 

Try it yourself for 30 days. Free. http://hubs.ly/H04vXt50",1.0,1.0
997,"Lake Ridge Schools
Calumet High School,
Gary, IN",2.0,2.0
629,"Career Ascend's mission is to provide training is areas that are targeted at enhancing ones career and ability to move ahead in this competitive job market.

The flagship course is Maximize English™ a Conversational English course to specifically help student communicate effectively with English speakers in the western hemisphere. The course has lesson plans on Conversational English, Business English, and Writing Skills etc. This course can be found on 
www.maximizeenglish.com . 

The second course is Six Sigma training where course materials for Black belt can be downloaded and used for training. This is a great resource for students all over the world to understand core concepts around these concepts and methodology. This course can be found on www.sigmacareer.com 

The third course is Project Management Training. Project Management is a basic requirement for all graduates today and our FREE project management course material helps people all around the world to acquire a good understanding on the subject and methodologies involved. This course can be found on www.career-ascend.com",1.0,1.0
2,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0.0,0.0
584,"SoftAssist partners with organizations to achieve their learning and development needs while preparing employees for tomorrow's business challenges. 

At SoftAssist, we believe that learning is much more than just the classroom, computer and courseware. Learning is about connecting, sharing and networking the knowledge, behaviors and best practices that will make your organization successful. 

To increase the return on your training investment, SoftAssist responds with customized learning solutions that are consistently cost effective and produce measurable results. Our expertise includes classroom training, online, mobile and serious learning games.",1.0,1.0
1047,"Creative Education Institute (CEI) began in the summer of 1987 with a firm belief that all students can learn. Recognizing that both educators and administrators are increasingly searching for products that produce a measurable impact on individual student achievement, CEI has established a goal to develop learning solutions that are key to making a difference ... a difference that can be measured by results.

It is our desire to develop proven learning programs that help challenged students master basic skills and then to provide professional development so that educators can apply such programs. 

CEI recognizes no boundaries in the development of our programs, so in turn, we have created products with no age boundaries. Any individual who is not showing an acceptable level of learning progress can benefit from the features of CEI’s products. We serve students of all ages, in all levels of education (K-12 and beyond):

— Adult Education
— At-risk
— Correctional Curriculum
— Dyslexic
— English Language Learners
— Head Start
— Regular Curriculum
— Special Education
— Title I
— Vocational Education 

At CEI, we share in your goal of improving students’ learning skills and test scores, and we understand that every student learns differently. That is why our adaptive technology provides instruction based on the skill level of the individual student, regardless of age, grade level, or learning challenge.",2.0,2.0
903,Operations Ex.,2.0,0.0
881,"Minerva Project, headquartered in San Francisco, is reinventing the university experience for the brightest, most motivated students in the world. Minerva is committed to providing an unparalleled educational experience for preparing global leaders and innovators for the 21st century.",2.0,2.0
790,The Grand Canyon Education Academy provides financial education programs for companies and organizations that want their people to enjoy a more financially secure future. When employees and members are more sure of their future and working toward their goals through a sound game plan they are more productive in the workplace.,1.0,2.0
902,Sandy Creek Central is a K-12 school district.,2.0,2.0
566,"A pioneer in Blended Learning for Process Improvement since 1992, The Quality Group enables elegant, technology-powered, learning experiences on a global scale. The leader in development and adoption of Blended Learning solutions for Fortune 500 enterprises, The Quality Group also works within an extended academic partner and strategic distribution channel. 

With an ever-present focus on Process Improvement (PI), The Quality Group produces innovative learning solutions that improve lives, organizations, and communities.  The e-Learning and Blended Learning solutions for PI, including Lean, Six Sigma, and Project Management, have helped hundreds of thousands of learners in corporations, government, and higher education. 

The Quality Group delivers e-Learning modules through its OpusWorks® technology, a powerful interactive learning platform. Related services include Blended Learning Design, Live & Virtual LSS Training, Content Development, and Project Services.",1.0,1.0
1010,"The Colorado Film School, located in Denver, is the finest film school in the western states region offering one year Advanced Immersion programs, Certificates, Associates degrees, and Bachelor of Fine Arts degrees in Writing/Directing, Writing/Producing, Cinematography/Videography, Post Production, and Acting for the Screen.",2.0,2.0
449,"Trans-Domain is a US based, IT Services and Development Company that provides Custom Software Development, Software Quality Engineering, Creative Services, Migration & Porting, etc.",1.0,1.0
959,"As an educational institution, EIM’s primary function is to provide a wide range of top-notch postgraduate and continuing education programs for physical therapists. Our flexible educational offerings feature the perfect blend of online and hands-on training and our faculty is comprised of world renowned physical therapy experts with extensive experience in academia, research, and practice management.

EIM is on a mission to continually elevate and move the physical therapy profession forward by discovering and translating the best, latest evidence into physical therapy practice. We envision a healthcare delivery system with exceptionally well-educated and skilled physical therapists positioned as the first point of contact in addressing the diagnosis, prevention and interventions related to movement disorders.

Follow us on Facebook (Evidence In Motion), Twitter at @EIMTeam, and Instagram @eimteam",2.0,1.0
941,Fuqua Private School.  Expanding education with equal opportunity.,2.0,2.0
359,"SAI Systems is a technology solutions and enabled services company specializing in rapid and cost effective delivery. We are SEI CMM quality certified and have a global presence. 

SAI Systems has a GSA schedule and is a Microsoft Gold Solutions Partner, Microsoft Academic Partner and SAP Services Partner.

We specialize in IT strategy and delivery and provide services in areas of:
1. Application Development
2. Application Maintenance and Sustainment
3. ERP/Package Implementation
4. Data Warehouse and Business Intelligence
5. Quality Assurance and Testing
6. IT Staff Augmentation
7. VAR/Information Appliances
8. Mobile Application Development
9. Network Support Services
10. End to End IT Consulting
11 Business Process Management
   a. Medical Billing/Revenue Cycle Management
   b. Medical Transcription
   c. Recruitment Outsourcing
   d. Data Entry, Data Transformation
   e. Back Office Support/Help Desk services



Caris Health, a subsidiary of SAI Systems International, Inc., is not affiliated with Caris Life Sciences.
",1.0,1.0
611,"MYCA:Learning provides computer and cloud based eLearning courseware on such topics as harassment prevention, diversity, inclusion, bullying and more, in both the public and private sector and is widely recognized as an expert in the field.  

MYCA:Learning has been creating powerful, engaging and interactive eLearning tools for over 13 years.  Company President and Founder, Patti Massey is recognized as an expert in the industry.  

MYCA:Learning provides access to over 30 years of proven intellectual content including real-life simulations to enable employees to learn more effectively, while saving time and money.  We make learning Easy, Engaging and Effective!!",1.0,1.0
490,"aSpark is focused on accelerating the adoption of consumer led innovation for enterprises - to take advantage of new revenue sources and improve operational efficiency. 

Enterprise Mobility and the New Web are at the core of this new innovation. aSpark has built platforms that enable rapid adoption of these new technologies for enterprises and provide specific business solutions. The firm has a robust Smart Integration Model that has been built and tested over many years with multiple clients. 

aSpark's Enterprise Mobility Team works with clients across the lifecycle of the overall initiative – from incubation and strategy to management and testing. The firm's services portfolio leverages the core aMAP platform to create a foundational architecture, build and deploy “enterprise grade” applications and manage them on an ongoing basis. 

aSpark is the new venture of a team that led a top 10 major technology services firm. As part of its start-up strategy, the firm has integrated with Byzan - well established for 15 years+, 300+ people. Byzan has a strong Wholesale Banking Support Center where its clients include 15+ major global financial services firms.",1.0,1.0
780,"Open source software brings freedom, flexibility, and innovation to a sector that has become bogged down by skyrocketing prices, monopolistic market tendencies, and annoying and burdensome litigation. But while hundreds of schools and institutions are clamoring for the benefits of open source, many are put off by the lack of enterprise support options needed to guarantee stable and successful deployments. Loom was created to meet this need by pairing the power of open source with the world class support, professional services, and hosting solutions demanded by the serious education enterprise.",1.0,1.0
328,"PreludeSys is a leading technology services provider delivering IT and IT enabled business solutions to companies large and small. We help companies achieve their business goals by bridging the gap between a business vision and real-world technology implementation.

As a company with a global footprint, we take the time to understand our client´s business strategies and focus on total customer and end-user satisfaction by providing solutions that enable companies to address their changing business needs. In tough economic times, companies need more than a vendor, they need a partner. A partner dedicated to adding value by improving processes and delivery of business and technology initiatives.",1.0,1.0
1040,"NERC Certification * NERC Continuing Education * NERC Reliability Standards * NERC Training and Compliance - SOS Intl, a leading provider of training and compliance services to the power industry,  rigorously tracks and interprets NERC Reliability Standards for System Operations. We expertly translate the Standards into customized education and compliance consulting, helping entities manage risk and ensure reliability for the North American power grid. SOS offers classroom and online courses, accompanied by sophisticated computer simulation.  All are designed using the latest systematic approach to training, as required by NERC.  

Headquartered in Charlotte, NC since 2002, SOS has provided NERC approved continuing education and compliance consulting to thousands of employee’s operating the Bulk Electric System across the United States and Canada.",2.0,1.0
451,"The influence of technology on local economies, especially in emerging markets, is changing the way people work and live. But the rapid rate of change puts stress on existing infrastructures and calls for a new approach to technology deployment and adoption.

At eLandia Group, we understand the many forces of change at work in global markets and have developed a business model that makes it easier and faster for businesses to adapt. With regional operations, we deliver information and communications technology solutions that are both compatible with local conventions and optimized for world-class best practices and processes.

Our company is a leading technology enabler focused on a strategy underpinning its approach of business transformation through Integration, education and infrastructure solutions.",1.0,1.0
602,"Oregon-based Educadium develops EasyCampus, the popular cloud-hosted learning management platform used by thousands of nonprofits, trade associations, and corporate trainers around the world. Clients include the American Dietetic Association. In minutes, trainers and IT staff can upload multimedia and SCORM-compatible course materials in order to create online schools, virtual classrooms, and training programs. Charge tuition or use for internal purposes. Features include wizards, templates, quiz builders, certificates, chat, discussion forums, and full branding options. An Express service is free for 25 users. Monthly subscriptions start at just $39/month for 500 users. Custom site creation, administration, and engineering are available. Free unlimited online support. Demo available at www.educadium.com",1.0,1.0
650,"Experts in Grant Training and Strategic Grant Development

The Grant Training Center has helped institutions of higher education, K-12 schools, non-profit organizations, foundations, government agencies, educators, researchers, and professionals from various agencies succeed amid the complexities and rapid change of the grant writing world. We are proud of our tradition of integrity, expertise, and creative approach to grant training. Today, more than ever, the difficult economic times in our institutions are creating new opportunities and posing daunting new challenges for the public sector and the non-profit world. The Grant Training Center enters its next decade blessed with a talented and tested team of experts to assist clients in writing winning proposals that lead to the innovations of tomorrow, survive potential challenges or crises and serve the beneficiaries that will most benefit from the funding.

The Centers clients include U.S. and international colleges and universities, K-12 institutions, non-profit organizations, state and federal agencies, faculty, researchers, teachers and public safety professionals. Much of our work is focused on training at the various levels of proposal writing, strategic planning for external giving in the United States and Canada. However, we have worked on similar matters in other parts of the world including the European Union, Australia, Latin America and the Caribbean.

Our experience is based not only on the hundreds of grants that our clients have received, but also on our depth of involvement in assisting our graduates with their grant submissions. This has distinguished GTC with over 58% success rates of winning grants.",1.0,1.0
582,"Real World Training has partnered with Intuit to provide QuickBooks training to end users since 1998. Over the last 18 years, we've trained more than 1,500,000 end users on how to best use QuickBooks to run and grow their businesses...and make them more successful. 

Although a separate company, we work very closely with Intuit to help improve QuickBooks, train internal teams, and create special classes and certifications.",1.0,1.0
277,"At Amyx, our mission is to exceed our customer's expectations on every contract, to provide an environment that encourages, recognizes and rewards the extraordinary contributions of our employees, and to advance and support the communities in which we work and live.

Amyx. is a management and technical solutions provider and a ""trusted partner""​ to our Federal Government clients on programs of national importance. We understand that successful programs require superior performance and a level of trust achieved through genuine rapport with the customer. Award-winning results have propelled Amyx to become one of the fastest growing businesses in the Washington Region. 

Amyx's service offerings include: 
         - Program Management and Acquisition Support 
         - Systems Engineering and Implementation 
         - Enterprise Architecture 
         - Business Process Transformation 
 
Amyx is also a Microsoft Certified Partner and a recognized leader in leveraging Microsoft platforms, applications, and associated information systems. Amyx currently qualifies as a Small Business under all NAICS codes that use either the new $7 Million and $25 Million SBA thresholds.  We also hold a Top Secret Facility clearance.

Amyx services can be easily retained by using the General Services Administration (GSA) IT and MOBIS schedule contracts, Government Wide Acquisition Contracts (GWACs), Indefinite Delivery/Indefinite Quantity (ID/IQ contracts), and Blanket Purchase Agreements (BPAs).",1.0,1.0
911,"• Instructing 1st and 4rth grade students in the subjects of reading and math.
• Providing Early reading intervention to a group of 1st and 2cd graders 4 times a week for 45 minutes.
• Writing IEPs for the students on my case load, writing progress notes, and monitoring their progress towards their IEP goals.",2.0,2.0
945,"The Savio Water Feature Institute is a contractor based educational intitution focused on bringing new and updated design and installation techniques and methods into practice within the water feature industry, thereby advancing the individual skill and proficiency levels of business owners and their employed staff members for small business around the world.",2.0,2.0
568,"WisdomTools, Inc. specializes in developing immersive, technology-based learning tools and materials. WisdomTools, as it exists today, is the result of a 2008 merger of two companies, WisdomTools and Information in Place. Both companies were spun out from Indiana University in 1999. We have 25+ employees specializing in designing and developing interactive training and education, including instructional design, computer programming, evaluation and assessment, informatics, graphic arts, and multimedia development.

In 2009 we were #620 on the Inc. 5000 fastest growing private companies, and #11 in education and training. It has won numerous awards for innovation in the training and education fields.",1.0,1.0
106,"Digicon Corporation is a leading IT service provider to the Federal Government, state and local agencies, healthcare organizations, and commercial enterprises. For nearly 30 years, Digicon has provided targeted and cost-effective solutions and innovations that span the enterprise. Digicon’s core services—BioTech Services, IT Services Management, Infrastructure/Cloud, and Business Execution Technologies—help our clients meet future IT challenges with clarity and confidence. With approximately 300 employee-owners and a nationwide presence, Digicon is committed to delivering the best in innovative IT solutions to fulfill the diverse needs of our clients.",1.0,1.0
588,"Proficient Learning develops sales training and technology solutions that help our customers’ sales teams accelerate adoption, increase utilization of their products, and increase sales performance. We specialize in the life science arena. Specific areas of expertise include hospital and office-based selling skills, account management, and management/leadership training. We connect clinical and brand messages to the skills by using adult learning principles and application exercises through a blended learning approach. Our team brings deep domain expertise into the skills, knowledge, and strategies that managers and sales teams must master to achieve goals.

This insight and expertise goes into every training program and technology solution we deliver. Whether for a sales meeting, curriculum-based training, or field reinforcement, our solutions work. Contact us today to Fuel Your Force!

Fuel. The sales training and mobile technology we develop provides the “fuel” that drives high performance from your sales teams.

Results. Our solutions consistently deliver increased sales, greater market share, and improved access across all therapeutic areas and product classes.

Innovation. Each sales training and mobile technology solution is designed to enable self-discovery, ownership, and skills that differentiate your team, products, and services.

Solutions that work. All sales training and mobile technology solutions reinforce key skills needed to be successful in the life science selling environment.",1.0,1.0
55,"Nemours Childrens Clinic is an Information Technology and Services company located in 699 W Cocoa Beach Cswy # 401, Cocoa Beach, Florida, United States.",0.0,0.0
213,"Denali Advanced Integration is one of the nation’s leading technology
integrators by volume and capacity. With more than 500 employees focused
on design, architecture, implementation and operations of your enterprise
IT portfolio, Denali is equipped to serve you. From the Client End Device
to the Cloud, Denali services retail, healthcare, industrial and government
environments throughout the Americas and Europe. Experienced in Data
Center, Unified Communication’s, Mobility and Virtualization, Denali will be
your guide to successful IT.",1.0,1.0
120,"AOS is the leading technology solutions provider in the Midwest. AOS specializes in architecting, implementing and supporting an expansive portfolio of solutions. These offerings range from Enterprise Networking, Unified Communications, Storage and Virtualization, to Physical and Information Security, Managed Services, GIS, SharePoint and more.",1.0,1.0
507,"C2S Technologies, Inc. was founded in 2005 with resources and expertise in Advanced Technology Consulting, Business Management Consulting, Infrastructure Management, Software product development, design, Test automation, training and Information Technology support. We are a Minority owned Business Enterprise (MBE) technology and consulting company having broad range contractual obligations with industries and consultant firms. We're also one of the fastest growing companies in our industry, with a client list that includes Fortune 100 and Fortune 500 companies.",1.0,1.0
25,Page is to let members and contacts know more about NEC's products and services offered in Singapore and in the region.,0.0,1.0
72,"CrossCom provides technology support solutions for companies with store infrastructures in retail, grocery, restaurant, and similar environments. We apply best practices, developed and refined over 35 years, to create services and governance processes that result in measurable and repeatable business improvements and value. With an unconditional commitment to our customers’ success, our dedicated team continually innovates to optimize our services, systems, operations, and processes to deliver the best solutions possible for the customers and industries CrossCom serves. 

CrossCom's differentiators are:

Our people who are dedicated to creating and delivering innovative solutions that provide continuous improvement and value to customers and industries CrossCom serves

A tenured team who leads the organization with a commitment to the company’s long-term viability, team members’ individual growth and accomplishments, and the success of the customers and industries CrossCom serves 

Accountability – ownership of issues, their risks and consequences, and the complete creation and delivery of the best possible service and support solutions to solve issues and create measurable and repeatable improvements and value

Innovation – continuous creation of industry thought leading solutions, systems, operations, and processes that provide real, measurable and repeatable customer and industry value, including a variable field service network, an adaptive sourcing model, and predictive data analyses and support 

The only field service technician network completely staffed by local vendor partners’ W-2 employees who average 12 years of serving CrossCom clients 

A leadership team comprised primarily of former military personnel who are committed to employing veterans directly and through the variable field service network",1.0,1.0
730,"1st Class Solutions (a WBE headquartered in Indianapolis, IN) collaborates with its clients to design and develop custom learning strategies - the intentional approach to engage your employees (or your customers), reduce costs, increase productivity, and achieve your strategic goals and objectives.

Your custom learning strategy may be formal or informal.  It may be a stand-alone solution such as an eLearning course delivered via the web.  Or, it may be a blended solution, including traditional classroom learning, eLearning, distance learning (such as podcasts and webinars), labs and practice exercises, on-the-job training, documentation, job aids, and more. 

Our focus on the adult learner and how we apply specific learning strategies makes the training stick so that you achieve your business results.",1.0,1.0
44,"AmeriQuest Technologies, Inc. is an Information Technology and Services company located in Ambler, Pennsylvania, United States.",0.0,0.0
585,"Seward Incorporated is a leader in the field of e-learning and digital strategies since 1990. Seward provides instructional design, business analysis, and technology services in the form of web-based training, web sites, web applications, and digital marketing strategies for corporations, educational institutions, professional organizations, and government agencies, nationally and internationally. Seward creates innovative products to meet the unique needs of a diverse clientele, whether a corporate CEO wanting to improve sales force knowledge, a first grader trying to improve her vocabulary, or an organization wanting to improve its web presence.

EDUCATION AND TRAINING
Seward applies proven instructional design principles to every project, making sure to engage and motivate learners; provide guidance, practice, and feedback; and facilitate the transfer of new knowledge and skills. These practices increase efficiency and ensure that learners benefit from the experience.
  
MARKETING AND BUSINESS SOLUTIONS
Seward offers internet marketing strategies to drive qualified traffic to client web sites. Programs are highly targeted, economically measured, and easily modified.

DIGITAL STRATEGIES 
Seward is a leading provider of digital strategies to support web site growth and change, while articulating and supporting our clients’ brands. 

PRODUCT DEVELOPMENT 
Seward develops products based on the unique needs of clients. Seward’s software developers are among the best in the industry, and the products they create continually add value to organizations rather than serve as one-time solutions. Our ability to evaluate, test, and model at the code level produces custom-designed software solutions built specifically for each client. In our development work, Seward uses only non-proprietary development tools to avoid vendor dependencies, and clients own all code once delivered.",1.0,1.0
370,"INSYS, a wholly-owned subsidiary of Luxoft Holding, Inc., has proven its ability to deliver flexible, innovative solutions for our clients'​ technology needs, particularly in data science and strategic planning. We help them reduce costs and increase business agility by finding the resources they need in healthcare, pharmaceuticals, financial services and technology.

We are dedicated to helping our clients achieve the momentum they need to ensure continued business success. We do it by focusing on the kind of real-world data that supports well-informed, pragmatic decisions.",1.0,1.0
331,"Mercury Development provides quality custom software development for a variety of platforms and industries. We develop for every major mobile platform as well as emerging platforms and web/database projects. Our extensive platform expertise makes us the ideal candidate for multi-platform, cross-platform and porting projects.",1.0,1.0
381,"Thrupoint was acquired by Acuative, a global provider of technology solutions featuring a portfolio of consulting, technical, field and managed services to help clients be ready for what's next!",1.0,1.0
380,"VIP is a global information technology solutions provider.
We thrive in environments where we can achieve breakthrough results for our clients. In fact, VIP has been helping clients in the public and private sectors challenge the boundaries of technology and business processes for over 13 years. In every engagement, VIP carefully evaluates and uncovers new possibilities to achieve measurable results. VIP offers customized solutions, proven comprehensive and efficient delivery methodologies and expert consultants with experience, resourcefulness and the commitment to deliver the quality you need. With local dedication and national reach, we demonstrate unwavering commitment to our clients' needs and partner with them to increase business performance, mitigate risk and resolve challenges.",1.0,1.0
1016,"CertSchool is a project management training consultancy that helps project managers achieve certifications. CertSchool is accredited by the Project Management Institute (PMI) as a Registered Educational Provider (REP) and  has operations across the world; including the US, Central America, and India. 

Trusted by PMI to meet the responsibilities of a  global training organization, CertSchool customizes training to meet the needs of its cherished customers.  CertSchool offers classes over the web, in traditional classroom environments, and corporate training programs in house.",2.0,1.0
824,"Providing instruction and career development for business and IT professionals since 1988.  The Computer Workshop, Inc. hosts courses in business application software, information technology and best practice methodologies. 

The Computer Workshop, Inc. customizes curriculum and the deliver of instruction, based on the client's specific goals.  With a breadth of over 1,000 courses, The Computer Workshop, Inc. works with individual students to satisfy personal and professional goals related to specific industry certification, assessment or college credit. 

A female owned and family run company, The Computer Workshop, Inc. collaborates with small and mid-sized business to government agencies and Fortune 500 companies towards the common goal of advancing productivity by investing in employee development.

Our customer-focused solutions include instructor-led classes, instructor-assisted (self-paced) classes, technology-based training, and professional development seminars. We are committed to bringing quality training at a competitive price to a broader audience.",1.0,1.0
394,"QArea is a software outsourcing company founded in 2001 that provides a full range of software lifecycle services from design to development and testing, optimization and software maintenance. QArea’s offices are spread around the globe while main development force is located in Kharkov, Lviv, Kiev in Ukraine.

Vast experience in various technologies, solutions, tools and programming languages that can be only acquired with years of hard work is exactly what QArea is offering its customers.  Solutions for enterprises, SMEs, Startups may be designed, developed and tested by our experts.

Test-driven software development, risk management, support throughout the entire software life cycle and more is what drives our high quality solutions we have already delivered to customers as
Microsoft, Skype, eBay and many others. We may as well deliver these solutions to you.

QArea is an official partner of Microsoft as well as Drupal.org.
Check up us on Clutch among IT leaders: https://clutch.co/profile/qarea",1.0,1.0
538,"ScienceSoft is an international software development company headquartered in the USA with operations in Finland, Belarus, and Vietnam and customers from North America and Europe, including giants such as IBM, Tieto, PerkinElmer and Leo Burnett as well as SMEs and startups such as would-be Viber.

We are a go-to vendor for custom software development of enterprise systems and consumer applications, outsourced product development, IT security, business intelligence and CRM solutions and services. Testing and quality assurance services are broadly represented on our portfolio as well as 24x7 support for IT infrastructure and applications.

With 450 experienced professionals, ISO 9001 compliant processes and over 26 years of IT business experience, ScienceSoft is a recognized partner of IBM, Microsoft and Oracle. Our business achievements are recognized by prestigious awards, including a national 2014 Fastest-growing company award by Ernst&Young (EY).",3.0,1.0
